youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,location,reference_code,type_of_violation
dV-L9akhsDs,"Displaced people stuck on the Syrian-Turkish border to escape bombing by Russian aircraft
",™š™€ø_™‹ø© øÇ™ˆøÂø_ øÂø±ø_ Shahba Press Agency,™Êø_ø_ø_™š™Ê ø_ø_™‹™‰™š™Ê ø_™‹™Š ø_™‹ø_ø¿™šø¿ ø_™‹ø_™šø±™_ø© ø_™‹øÈø±™€™_ø© ™ˆø±øÂø_ ™ƒ™Ê ™‰øµ™ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_,1/24/16 12:05,35.9266549,36.6180588,IDLIB,RU_1404,Alleged civilian casualties from Russian attacks
dV-L9akhsDs,Displaced people stuck on the Syrian-Turkish border trying to escape from bombing by Russian aircraft,™š™€ø_™‹ø© øÇ™ˆøÂø_ øÂø±ø_ Shahba Press Agency,™Êø_ø_ø_™š™Ê ø_ø_™‹™‰™š™Ê ø_™‹™Š ø_™‹ø_ø¿™šø¿ ø_™‹ø_™šø±™_ø© ø_™‹øÈø±™€™_ø© ™ˆø±øÂø_ ™ƒ™Ê ™‰øµ™ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_,1/24/16 12:05,36.584381,37.049911,ALEPPO : Azaz,RU_1405,Alleged civilian casualties from Russian attacks
D_i9jheDHwc,Halab News reporter witnessed the first moments of the Russian airstrike close to Bab al-Hawa border crossing,øÇøÂ™€ø© ø_™‹øÂ ™Ê™_™šø_ - Halab News Network,™ƒø±ø_ø_™‹ ø_™‹øÇøÂ™€ø© ™_ø±øµø¿ ø_™‹™‹ø_øŸø_øÈ ø_™‹ø£™š™‹™Š ™‹™‰øµ™ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ ø_™‹™ƒ™Êø_ø‡™‰ ø_™‹™‰ø±™_øÂø© ™ƒ™Ê ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹ø_ø¿™šø¿™_,1/23/16 4:23,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1406,Alleged civilian casualties from Russian attacks
UE7y3xs_1Jw,Hamah: Destruction in Agricultural school due to the russian airstrikes in Kafr Zeita 22-1-2016,Qasion News Agency EN,ø_™ƒø_ø©: ø_™‹ø¿™ƒø_ø± øÂø_™‹™ƒø¿ø±ø_ø© ø_™‹ø_ø±ø_ø_™_ø© øåø±ø_øç ø_™‹ø_ø_ø±ø_øÈ ø_™‹øå™š™_ø© ø_™‹ø±™šø_™_ø© ø_™‹™Š ™€™ø±ø_™_øÈø_ 22-1-2016 ,1/22/16 18:25,35.373461,36.601458,HAMA : KafrZita,RU_1407,Alleged civilian casualties from Russian attacks
FQUt23o1kiA,Qasioun News: Rif Dimashq: Russian warplanes hovering over Eastern ghouta airspace 22-1-2016,Qasion News Agency EN,™š™€ø_™‹ø© ™‰ø_ø_™_™š™Ê: øÈø_™‹™_™‰ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ™™_ ø_øå™šø_øç ø_™‹ø_™šø‡ø© ø_™‹øÇø±™‰™_ø© 22-1-2016,1/22/16 17:16,33.5296468,36.3848593,DAMASCUS : Eastern Ghouta,RU_1408,Alleged civilian casualties from Russian attacks
0MgUkQQoT9M,Idlib Civil Defence: Idlib Civil Defense members assisting wounded in Bab al-Hawa massacre 22/1/2016,ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ-Idlib civil defense,ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ / ™‹ø_øŸø_øÈ ø_ø_ø_ø_™ ø_™‹™ƒøµø_øÂ™_™Ê øÂ™ƒøåø_ø±ø© øÂø_øÂ ø_™‹™ˆ™š™Š ™ƒ™Ê ™‰øÂ™‹ ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ 22/1/2016,1/22/16 16:53,"36ŒÁ11'45.99""N","36ŒÁ43'53.03""E",,RU_1409,Alleged civilian casualties from Russian attacks
MqomkaejJrA,Sixth Russian airstrike on old Bab al-Hawa crossing in Idlib countryside 22/1/2016,øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø_™‹ø_ø_ø±ø© ø_™‹ø_ø_ø¿ø_ø© ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016øå2,1/22/16 16:28,"36ŒÁ11'45.99""N","36ŒÁ43'53.03""E",,RU_1410,Alleged civilian casualties from Russian attacks
XFafk6_aedU,"Idlib Civil Defense: Rescuing children from fire caused by Russian airstrikes, Bab al-Hawa 22/1/2016",ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ-Idlib civil defense,ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ / ø£™ÊøÈøÇø_™‹ ø_™‹ø£ø‡™ø_™‹ ™ƒ™Ê øÂ™_™Ê ø_™‹™Ê™_ø±ø_™Ê ™ÊøÈ™_øåø© ™‰øµ™ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ /øÂø_øÂ ø_™‹™ˆ™š™Š 22/1/2016,1/22/16 16:24,"36ŒÁ11'45.99""N","36ŒÁ43'53.03""E",,RU_1411,Alleged civilian casualties from Russian attacks
hoQ8qZiIoCE,"Idlib Civil Defense: massacre caused by Russian aistrikes, Bab al-Hawa 22/1/2016",ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ-Idlib civil defense,ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ ™ƒøåø_ø±ø© ™_ø±øÈ™€øÂ™ˆø_ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ øÂøÂø_øÂ ø_™‹™ˆ™š™Š 22/1/2016,1/22/16 16:02,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1412,Alleged civilian casualties from Russian attacks
AZ0rKcJBLGg,Head of Idlib Civil Defense speaking at Bab al-Hawa crossing about Russian airstrike 22/1/2016,øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±ø_™_ø_ ™ƒø±™€ø_ ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ™™_ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ™ƒøÈø_ø‚ø_ ø_™Ê ø_™‹ø_ø_ø±ø© ø_™‹ø±™šø_™_ø© 22-1-2016,1/22/16 15:50,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1413,Alleged civilian casualties from Russian attacks
